bfsNumber,name,cantonCode,districtNumber,districtName
1,Aeugst am Albis,ZH,101,Bezirk Affoltern
2,Affoltern am Albis,ZH,101,Bezirk Affoltern
3,Bonstetten,ZH,101,Bezirk Affoltern
4,Hausen am Albis,ZH,101,Bezirk Affoltern
5,Hedingen,ZH,101,Bezirk Affoltern
6,Kappel am Albis,ZH,101,Bezirk Affoltern
7,Knonau,ZH,101,Bezirk Affoltern
8,Maschwanden,ZH,101,Bezirk Affoltern
9,Mettmenstetten,ZH,101,Bezirk Affoltern
10,Obfelden,ZH,101,Bezirk Affoltern
11,Ottenbach,ZH,101,Bezirk Affoltern
12,Rifferswil,ZH,101,Bezirk Affoltern
13,Stallikon,ZH,101,Bezirk Affoltern
14,Wettswil am Albis,ZH,101,Bezirk Affoltern
22,Benken (ZH),ZH,102,Bezirk Andelfingen
23,Berg am Irchel,ZH,102,Bezirk Andelfingen
24,Buch am Irchel,ZH,102,Bezirk Andelfingen
25,Dachsen,ZH,102,Bezirk Andelfingen
26,Dorf,ZH,102,Bezirk Andelfingen
27,Feuerthalen,ZH,102,Bezirk Andelfingen
28,Flaach,ZH,102,Bezirk Andelfingen
29,Flurlingen,ZH,102,Bezirk Andelfingen
31,Henggart,ZH,102,Bezirk Andelfingen
33,Kleinandelfingen,ZH,102,Bezirk Andelfingen
34,Laufen-Uhwiesen,ZH,102,Bezirk Andelfingen
35,Marthalen,ZH,102,Bezirk Andelfingen
37,Ossingen,ZH,102,Bezirk Andelfingen
38,Rheinau,ZH,102,Bezirk Andelfingen
39,Thalheim an der Thur,ZH,102,Bezirk Andelfingen
40,Trüllikon,ZH,102,Bezirk Andelfingen
41,Truttikon,ZH,102,Bezirk Andelfingen
43,Volken,ZH,102,Bezirk Andelfingen
51,Bachenbülach,ZH,103,Bezirk Bülach
52,Bassersdorf,ZH,103,Bezirk Bülach
53,Bülach,ZH,103,Bezirk Bülach
54,Dietlikon,ZH,103,Bezirk Bülach
55,Eglisau,ZH,103,Bezirk Bülach
56,Embrach,ZH,103,Bezirk Bülach
57,Freienstein-Teufen,ZH,103,Bezirk Bülach
58,Glattfelden,ZH,103,Bezirk Bülach
59,Hochfelden,ZH,103,Bezirk Bülach
60,Höri,ZH,103,Bezirk Bülach
61,Hüntwangen,ZH,103,Bezirk Bülach
62,Kloten,ZH,103,Bezirk Bülach
63,Lufingen,ZH,103,Bezirk Bülach
64,Nürensdorf,ZH,103,Bezirk Bülach
65,Oberembrach,ZH,103,Bezirk Bülach
66,Opfikon,ZH,103,Bezirk Bülach
67,Rafz,ZH,103,Bezirk Bülach
68,Rorbas,ZH,103,Bezirk Bülach
