Jahr;BFS_Nummer;Gemeinde;Indikator;Wert
2026;2761;Aesch;Steuerfuss_Ertrag_juristische_Personen_Prozent;55.0
2026;2761;Aesch;Steuerfuss_Kapital_juristische_Personen_Prozent;55.0
2026;2761;Aesch;Steuerfuss_natürliche_Personen_Prozent;56.0
2026;2762;Allschwil;Steuerfuss_Ertrag_juristische_Personen_Prozent;55.0
2026;2762;Allschwil;Steuerfuss_Kapital_juristische_Personen_Prozent;55.0
2026;2762;Allschwil;Steuerfuss_natürliche_Personen_Prozent;58.0
2026;2763;Arlesheim;Steuerfuss_Ertrag_juristische_Personen_Prozent;50.0
2026;2763;Arlesheim;Steuerfuss_Kapital_juristische_Personen_Prozent;50.0
2026;2763;Arlesheim;Steuerfuss_natürliche_Personen_Prozent;47.0
2026;2764;Biel-Benken;Steuerfuss_Ertrag_juristische_Personen_Prozent;46.0
2026;2764;Biel-Benken;Steuerfuss_Kapital_juristische_Personen_Prozent;46.0
2026;2764;Biel-Benken;Steuerfuss_natürliche_Personen_Prozent;46.0
2026;2765;Binningen;Steuerfuss_Ertrag_juristische_Personen_Prozent;31.0
2026;2765;Binningen;Steuerfuss_Kapital_juristische_Personen_Prozent;55.0
2026;2765;Binningen;Steuerfuss_natürliche_Personen_Prozent;49.0
2026;2766;Birsfelden;Steuerfuss_Ertrag_juristische_Personen_Prozent;55.0
2026;2766;Birsfelden;Steuerfuss_Kapital_juristische_Personen_Prozent;55.0
2026;2766;Birsfelden;Steuerfuss_natürliche_Personen_Prozent;62.0
2026;2767;Bottmingen;Steuerfuss_Ertrag_juristische_Personen_Prozent;49.0
2026;2767;Bottmingen;Steuerfuss_Kapital_juristische_Personen_Prozent;49.0
2026;2767;Bottmingen;Steuerfuss_natürliche_Personen_Prozent;48.0
2026;2768;Ettingen;Steuerfuss_Ertrag_juristische_Personen_Prozent;50.0
2026;2768;Ettingen;Steuerfuss_Kapital_juristische_Personen_Prozent;50.0
2026;2768;Ettingen;Steuerfuss_natürliche_Personen_Prozent;61.0
2026;2769;Münchenstein;Steuerfuss_Ertrag_juristische_Personen_Prozent;55.0
2026;2769;Münchenstein;Steuerfuss_Kapital_juristische_Personen_Prozent;55.0
2026;2769;Münchenstein;Steuerfuss_natürliche_Personen_Prozent;60.0
2026;2770;Muttenz;Steuerfuss_Ertrag_juristische_Personen_Prozent;55.0
2026;2770;Muttenz;Steuerfuss_Kapital_juristische_Personen_Prozent;55.0
2026;2770;Muttenz;Steuerfuss_natürliche_Personen_Prozent;56.0
2026;2771;Oberwil;Steuerfuss_Ertrag_juristische_Personen_Prozent;55.0
2026;2771;Oberwil;Steuerfuss_Kapital_juristische_Personen_Prozent;55.0
2026;2771;Oberwil;Steuerfuss_natürliche_Personen_Prozent;50.0
2026;2772;Pfeffingen;Steuerfuss_Ertrag_juristische_Personen_Prozent;45.0
2026;2772;Pfeffingen;Steuerfuss_Kapital_juristische_Personen_Prozent;45.0
2026;2772;Pfeffingen;Steuerfuss_natürliche_Personen_Prozent;45.0
2026;2773;Reinach;Steuerfuss_Ertrag_juristische_Personen_Prozent;55.0
2026;2773;Reinach;Steuerfuss_Kapital_juristische_Personen_Prozent;55.0
2026;2773;Reinach;Steuerfuss_natürliche_Personen_Prozent;58.5
2026;2774;Schönenbuch;Steuerfuss_Ertrag_juristische_Personen_Prozent;45.0
2026;2774;Schönenbuch;Steuerfuss_Kapital_juristische_Personen_Prozent;45.0
2026;2774;Schönenbuch;Steuerfuss_natürliche_Personen_Prozent;54.0
2026;2775;Therwil;Steuerfuss_Ertrag_juristische_Personen_Prozent;55.0
2026;2775;Therwil;Steuerfuss_Kapital_juristische_Personen_Prozent;55.0
2026;2775;Therwil;Steuerfuss_natürliche_Personen_Prozent;52.0
2026;2781;Blauen;Steuerfuss_Ertrag_juristische_Personen_Prozent;44.0
2026;2781;Blauen;Steuerfuss_Kapital_juristische_Personen_Prozent;55.0
2026;2781;Blauen;Steuerfuss_natürliche_Personen_Prozent;59.5
2026;2782;Brislach;Steuerfuss_Ertrag_juristische_Personen_Prozent;50.0
2026;2782;Brislach;Steuerfuss_Kapital_juristische_Personen_Prozent;55.0
2026;2782;Brislach;Steuerfuss_natürliche_Personen_Prozent;57.0
2026;2783;Burg i.L.;Steuerfuss_Ertrag_juristische_Personen_Prozent;55.0
2026;2783;Burg i.L.;Steuerfuss_Kapital_juristische_Personen_Prozent;55.0
2026;2783;Burg i.L.;Steuerfuss_natürliche_Personen_Prozent;68.0
2026;2784;Dittingen;Steuerfuss_Ertrag_juristische_Personen_Prozent;55.0
2026;2784;Dittingen;Steuerfuss_Kapital_juristische_Personen_Prozent;55.0
2026;2784;Dittingen;Steuerfuss_natürliche_Personen_Prozent;64.0
2026;2785;Duggingen;Steuerfuss_Ertrag_juristische_Personen_Prozent;55.0
2026;2785;Duggingen;Steuerfuss_Kapital_juristische_Personen_Prozent;55.0
2026;2785;Duggingen;Steuerfuss_natürliche_Personen_Prozent;54.0
2026;2786;Grellingen;Steuerfuss_Ertrag_juristische_Personen_Prozent;55.0
2026;2786;Grellingen;Steuerfuss_Kapital_juristische_Personen_Prozent;55.0
2026;2786;Grellingen;Steuerfuss_natürliche_Personen_Prozent;62.0
2026;2787;Laufen;Steuerfuss_Ertrag_juristische_Personen_Prozent;55.0
2026;2787;Laufen;Steuerfuss_Kapital_juristische_Personen_Prozent;55.0
2026;2787;Laufen;Steuerfuss_natürliche_Personen_Prozent;59.0
2026;2788;Liesberg;Steuerfuss_Ertrag_juristische_Personen_Prozent;55.0
2026;2788;Liesberg;Steuerfuss_Kapital_juristische_Personen_Prozent;55.0
2026;2788;Liesberg;Steuerfuss_natürliche_Personen_Prozent;61.0
2026;2789;Nenzlingen;Steuerfuss_Ertrag_juristische_Personen_Prozent;55.0
2026;2789;Nenzlingen;Steuerfuss_Kapital_juristische_Personen_Prozent;55.0
2026;2789;Nenzlingen;Steuerfuss_natürliche_Personen_Prozent;62.5
2026;2790;Roggenburg;Steuerfuss_Ertrag_juristische_Personen_Prozent;55.0
2026;2790;Roggenburg;Steuerfuss_Kapital_juristische_Personen_Prozent;55.0
2026;2790;Roggenburg;Steuerfuss_natürliche_Personen_Prozent;62.0
2026;2791;Röschenz;Steuerfuss_Ertrag_juristische_Personen_Prozent;50.0
2026;2791;Röschenz;Steuerfuss_Kapital_juristische_Personen_Prozent;50.0
2026;2791;Röschenz;Steuerfuss_natürliche_Personen_Prozent;58.0
