"LAST_REFRESH","YEAR","COMMUNITY","BFSNR","FLAG","STF_O_KIRCHE1","STF_O_KIRCHE2","STF_O_KIRCHE3","DIFF_O_KIRCHE","STF_REF1","STF_REF2","STF_REF3","DIFF_REF","STF_KATH1","STF_KATH2","STF_KATH3","DIFF_KATH","STF_CKRKATH1","STF_CKRKATH2","STF_CKRKATH3","DIFF_CHRKATH","JUR_PERS"
"24.03.2026",2026,"Aeugst a.A.",1,"definitiv",92,,,0,106,,,2,105,,,0,106,,,0,105.67
"24.03.2026",2026,"Affoltern a.A.",2,"definitiv",122,,,0,136,,,2,135,,,0,136,,,0,135.49
"24.03.2026",2026,"Bonstetten",3,"definitiv",106,,,-3,120,,,-1,117,,,-3,120,,,-3,118.68
"24.03.2026",2026,"Hausen a.A.",4,"definitiv",112,,,0,126,,,2,126,,,0,126,,,0,126
"24.03.2026",2026,"Hedingen",5,"definitiv",100,,,0,114,,,2,113,,,0,114,,,0,113.6
"24.03.2026",2026,"Kappel a.A.",6,"definitiv",102,,,0,116,,,0,116,,,0,116,,,0,116
"24.03.2026",2026,"Knonau",7,"definitiv",116,,,0,130,,,0,130,,,0,130,,,0,130
"24.03.2026",2026,"Maschwanden",8,"definitiv",128,,,-1,142,,,1,142,,,-1,142,,,-1,142
"24.03.2026",2026,"Mettmenstetten",9,"definitiv",98,,,0,112,,,2,112,,,0,112,,,0,112
"24.03.2026",2026,"Obfelden",10,"definitiv",118,,,-1,130,,,-1,131,,,-1,132,,,-1,130.49
"24.03.2026",2026,"Ottenbach",11,"definitiv",115,,,0,129,,,2,128,,,0,129,,,0,128.57
"24.03.2026",2026,"Rifferswil",12,"definitiv",120,,,-2,134,,,0,134,,,-2,134,,,-2,134
"24.03.2026",2026,"Stallikon",13,"definitiv",101,,,-2,112,,,-2,112,,,-2,115,,,-2,112
"24.03.2026",2026,"Wettswil a.A.",14,"definitiv",89,,,-2,100,,,-2,100,,,-2,103,,,-2,100
"24.03.2026",2026,"Benken",22,"definitiv",110,,,0,124,,,0,124,,,0,124,,,0,124
"24.03.2026",2026,"Berg a.I.",23,"definitiv",98,,,0,110,,,0,111,,,0,112,,,0,110.14
"24.03.2026",2026,"Buch a.I.",24,"definitiv",106,,,0,118,,,0,119,,,0,120,,,0,118.17
"24.03.2026",2026,"Dachsen",25,"definitiv",111,,,0,123,,,0,125,,,0,125,,,0,123.62
"24.03.2026",2026,"Dorf",26,"definitiv",99,,,-5,113,,,-5,112,,,-5,113,,,-5,112.75
"24.03.2026",2026,"Feuerthalen",27,"definitiv",114,,,0,128,,,0,128,,,0,128,,,0,128
"24.03.2026",2026,"Flaach",28,"definitiv",107,,,0,119,,,0,120,,,0,121,,,0,119.26
"24.03.2026",2026,"Flurlingen",29,"definitiv",111,,,0,123,,,0,125,,,0,125,,,0,123.64
"24.03.2026",2026,"Henggart",31,"definitiv",111,,,8,125,,,8,124,,,8,125,,,8,124.73
"24.03.2026",2026,"Kleinandelfingen",33,"definitiv",118,,,2,130,,,2,132,,,2,132,,,2,130.54
"24.03.2026",2026,"Laufen-Uhwiesen",34,"definitiv",104,,,0,116,,,0,118,,,0,118,,,0,116.58
"24.03.2026",2026,"Marthalen",35,"definitiv",107,,,0,121,,,0,121,,,0,121,,,0,121
"24.03.2026",2026,"Ossingen",37,"definitiv",113,,,14,127,,,14,127,,,14,127,,,14,127
"24.03.2026",2026,"Rheinau",38,"definitiv",112,,,0,126,,,0,126,,,0,126,,,0,126
"24.03.2026",2026,"Thalheim a.d.Th.",39,"definitiv",117,,,2,129,,,2,129,,,1,131,,,2,129
"24.03.2026",2026,"Trüllikon",40,"definitiv",110,,,0,124,,,0,124,,,0,124,,,0,124
"24.03.2026",2026,"Truttikon",41,"definitiv",107,,,0,121,,,0,121,,,0,121,,,0,121
"24.03.2026",2026,"Volken",43,"definitiv",111,,,0,123,,,0,124,,,0,125,,,0,123.22
"24.03.2026",2026,"Bachenbülach",51,"definitiv",106,,,0,116,,,0,117,,,0,120,,,0,116.46
"24.03.2026",2026,"Bassersdorf",52,"definitiv",114,,,0,126,,,0,123,,,0,128,,,0,124.53
"24.03.2026",2026,"Bülach",53,"definitiv",114,,,0,124,,,0,125,,,0,128,,,0,124.5
"24.03.2026",2026,"Dietlikon",54,"definitiv",105,,,0,116,,,0,113,,,0,119,,,0,114.5
"24.03.2026",2026,"Eglisau",55,"definitiv",113,,,0,126,,,0,126,,,0,127,,,0,126
"24.03.2026",2026,"Embrach",56,"definitiv",112,,,-2,124,,,-2,125,,,-2,126,,,-2,124.46
"24.03.2026",2026,"Freienstein-Teufen",57,"definitiv",99,,,0,113,,,0,112,,,0,113,,,0,112.68
"24.03.2026",2026,"Glattfelden",58,"definitiv",120,,,0,134,,,0,133,,,0,134,,,0,133.59
"24.03.2026",2026,"Hochfelden",59,"definitiv",116,,,0,126,,,0,127,,,0,130,,,0,126.4
"24.03.2026",2026,"Höri",60,"definitiv",110,,,0,120,,,0,121,,,0,124,,,0,120.56
"24.03.2026",2026,"Hüntwangen",61,"definitiv",108,,,0,122,,,0,121,,,0,122,,,0,121.69
"24.03.2026",2026,"Kloten",62,"definitiv",100,,,0,109,,,0,109,,,0,114,,,0,109
"24.03.2026",2026,"Lufingen",63,"definitiv",97,,,5,109,,,5,110,,,5,111,,,5,109.48
"24.03.2026",2026,"Nürensdorf",64,"definitiv",90,,,0,102,,,0,99,,,0,104,,,0,100.77
"24.03.2026",2026,"Oberembrach",65,"definitiv",117,,,-5,129,,,-5,130,,,-5,131,,,-5,129.27
"24.03.2026",2026,"Opfikon",66,"definitiv",94,,,0,102,,,0,101,,,0,108,,,0,101.34
"24.03.2026",2026,"Rafz",67,"definitiv",113,,,0,127,,,0,126,,,0,127,,,0,126.63
"24.03.2026",2026,"Rorbas",68,"definitiv",103,,,0,117,,,0,116,,,0,117,,,0,116.57
"24.03.2026",2026,"Wallisellen",69,"definitiv",93,,,0,100,,,0,101,,,0,107,,,0,100.55
"24.03.2026",2026,"Wasterkingen",70,"definitiv",116,,,0,130,,,0,129,,,0,130,,,0,129.75
"24.03.2026",2026,"Wil",71,"definitiv",97,,,-2,111,,,-2,110,,,-2,111,,,-2,110.75
"24.03.2026",2026,"Winkel",72,"definitiv",76,,,0,86,,,0,87,,,0,90,,,0,86.42
"24.03.2026",2026,"Bachs",81,"definitiv",128,,,0,142,,,0,138,,,0,142,,,0,140.96
"24.03.2026",2026,"Boppelsen",82,"definitiv",94,,,0,107,,,0,104,,,0,108,,,0,105.95
"24.03.2026",2026,"Buchs",83,"definitiv",105,,,0,116,,,0,115,,,0,119,,,0,115.49
"24.03.2026",2026,"Dällikon",84,"definitiv",107,,,0,118,,,0,117,,,0,121,,,0,117.42
"24.03.2026",2026,"Dänikon",85,"definitiv",120,,,0,131,,,0,130,,,0,134,,,0,130.49
"24.03.2026",2026,"Dielsdorf",86,"definitiv",105,,,0,117,,,0,115,,,0,119,,,0,115.94
"24.03.2026",2026,"Hüttikon",87,"definitiv",113,,,0,126,,,0,123,,,0,127,,,0,124.47
"24.03.2026",2026,"Neerach",88,"definitiv",77,,,0,89,,,0,87,,,0,91,,,0,88.28
